,pubChemID,common_name,functional_group
5642,15927667,"2-(Hydroxymethyl)Butane-1,2,3,4-Tetrol","Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, Tert. alcohol, 1,2-diol"
5643,15934091,6''-O-Malonylgenistin,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Oxohetarene, Aromatic compound, Heterocyclic compound"
5644,15945058,Apterin,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5645,15958839,Schembl2629187,"Carbonyl compound, Ketone, Amine, Prim. amine, Prim. aromat. amine, Halogen deriv., Aryl fluoride, Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid tert. amide, Aromatic compound, Heterocyclic compound"
5646,15987477,"N-[4-(2-Cyano-2,2-Dimethylethyl)Cyclohexyl]-N-Cyclopropyl-4-[(2S)-1,1,1-Trifluoro-2-Hydroxypropan-2-Yl]Benzamide","Hydroxy compound, Alcohol, Tert. alcohol, Halogen deriv., Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid tert. amide, Nitrile, Aromatic compound"
5647,16038118,"7,4'-Dihydroxy-8-Prenylflavone","Carbonyl compound, Hydroxy compound, Phenol, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
5648,16061042,Xi-8-Hydroxyhexadecanedioic Acid,"Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid"
5649,16070004,Avenic Acid A,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, Amine, Sec. amine, Sec. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid, Alpha-hydroxyacid"
5650,16072386,Diosgenin Bis-.Alpha-L-Rhamnopyranosyl(1-2 And 1-4)-.Beta.-D-Glucopyranoside,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Alkene, Heterocyclic compound"
5651,16072922,Neodiospyrin,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Alkene, Aromatic compound"
5652,16081932,1-Oleoyl-Sn-Glycero-3-Phosphocholine,"Cation, Anion, Hydroxy compound, Alcohol, Sec. alcohol, Quaternary ammonium salt, Carboxylic acid deriv., Carboxylic acid ester, Phosphoric acid deriv., Phosphoric acid ester, Alkene"
5653,16085191,,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
5654,16102148,Rapalexin A,"Ether, Alkylarylether, Isothiocyanate, Aromatic compound, Heterocyclic compound"
5655,16102149,Rapalexin B,"Hydroxy compound, Phenol, Ether, Alkylarylether, Isothiocyanate, Aromatic compound, Heterocyclic compound"
5656,16109859,Chembl426725,"Hydroxy compound, Alcohol, Prim. alcohol, Phenol, Ether, Diarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5657,16109866,Dehydrobisgravillol,"Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound"
5658,16109872,Chembl221393,"Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound"
5659,16119330,N-Trans-Feruloyldopamine,"Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid sec. amide, Alkene, Aromatic compound"
5660,16126762,Chembl221291,"Hydroxy compound, Phenol, Aromatic compound"
5661,16129720,Punicacortein D,"Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Oxohetarene, Aromatic compound, Heterocyclic compound"
5662,16129869,Punicalagin,"Hemiacetal, Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Oxohetarene, Aromatic compound, Heterocyclic compound"
5663,16129878,Tannic Acid,"Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound, Heterocyclic compound"
5664,16130312,84754-11-0,"Hydroxy compound, Phenol, 1,2-diphenol, Ether, Diarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5665,16130973,Cinnamtannin B2,"Acetal, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
5666,16131089,Vescalagin Carboxylic Acid,"Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5667,16132408,Acutissimin A,"Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5668,16132415,Chembl407914,"Carbonyl compound, Ketone, Enol, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5669,16132762,,"Carbonyl compound, Ketone, Enol, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5670,16133867,,"Carbonyl compound, Ketone, Carbonyl hydrate, Hemiacetal, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Diarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Alkene, Aromatic compound, Heterocyclic compound"
5671,16141214,,"Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound, Heterocyclic compound"
5672,16141385,Amurensin M,"Hydroxy compound, Phenol, Alkene, Aromatic compound, Heterocyclic compound"
5673,16165063,,"Hemiacetal, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Diarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5674,16165472,Pavetannin C1,"Acetal, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
5675,16167186,,"Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5676,16170073,,"Hydroxy compound, Phenol, 1,2-diphenol, Ether, Diarylether, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5677,16181831,Sanguiin H6,"Hydroxy compound, Phenol, 1,2-diphenol, Ether, Diarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5678,16185747,,"Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5679,16185752,,"Carbonyl compound, Ketone, Enol, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5680,16185755,,"Carbonyl compound, Ketone, Enol, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5681,16191158,Mls000733050,"Hydroxy compound, Alcohol, Sec. alcohol, Ether, Alkylarylether, Amine, Sec. amine, Sec. aliphat. amine, Tert. amine, Tert. aliphat. amine, Aromatic compound, Heterocyclic compound"
5682,16201273,Acutissimin A,"Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5683,16212907,Hydrocinchonin,"Hydroxy compound, Alcohol, Sec. alcohol, Amine, Tert. amine, Tert. aliphat. amine, Aromatic compound, Heterocyclic compound"
5684,16215736,Diarctigenin,"Hydroxy compound, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
5685,16219826,L024045,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Alkene"
5686,16655699,Basilol,"Carbonyl compound, Aldehyde, Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
5687,16655785,Basilimoside,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Alkene, Heterocyclic compound"
5688,16667349,Udp-Alpha-D-Xylose,"Anion, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Oxohetarene, Phosphoric acid deriv., Phosphoric acid ester, Aromatic compound, Heterocyclic compound"
5689,16681728,P-Hpea-Eda,"Carbonyl compound, Aldehyde, Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
5690,16724248,"3',4'-Dihydroxy-7-[(2-O-Alpha-L-Rhamnopyranosyl-Beta-D-Glucopyranosyl)Oxy]Flavone","Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
5691,16744613,Isosojagol,"Hydroxy compound, Phenol, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
5692,16747731,,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, Carboxylic acid deriv., Carboxylic acid ester, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
5693,16750859,Jasminanhydride,"Carbonyl compound, Aldehyde, Carboxylic acid deriv., Carboxylic acid anhydride, Alkene, Heterocyclic compound"
5694,17754707,Capsiconiate,"Hydroxy compound, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
5695,17754750,Dihydrocapsiconiate,"Hydroxy compound, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
5696,17756737,Monoglyceride,"Hydroxy compound, Alcohol, Prim. alcohol, Carboxylic acid deriv., Carboxylic acid ester"
5697,17787981,Gliadin,"Hydroxy compound, Phenol, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid prim. amide, Carboxylic acid sec. amide, Carboxylic acid tert. amide, Aromatic compound, Heterocyclic compound"
5698,17850361,,"Cation, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
5699,17950432,80489-90-3,"Hydroxy compound, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid, Alkene, Aromatic compound"
5700,17979794,4-Butyloxazole,"Aromatic compound, Heterocyclic compound"
5701,18324563,,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid sec. amide, Guanidine, Alpha-aminoacid"
5702,18410556,G-Glutamyl-S-(1-Propenyl)Cysteine Sulfoxide,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid sec. amide, Sulfoxide, Sulfinic acid deriv., Alkene, Alpha-aminoacid"
5703,18459409,15-Nonacosanol,"Hydroxy compound, Alcohol, Sec. alcohol"
5704,18615526,Laurenobiolide,"Carboxylic acid deriv., Carboxylic acid ester, Lactone, Alkene, Heterocyclic compound"
5705,18676629,,"Cation, Anion, Carboxylic acid deriv., Carboxylic acid salt"
5706,18684078,Oleacein,"Carbonyl compound, Aldehyde, Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
5707,18688993,Neryl Glucoside,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Alkene, Heterocyclic compound"
5708,18688995,Neryl Arabinofuranosyl-Glucoside,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Alkene, Heterocyclic compound"
5709,18971002,,"Cation, Anion, Carboxylic acid deriv., Carboxylic acid salt"
5710,18971349,,"Carboxylic acid deriv., Carboxylic acid, Thiocarboxylic acid deriv., Thiocarboxylic acid ester, Thiolactone, Sulfenic acid deriv., Heterocyclic compound"
5711,19021065,18412-81-2,"Cation, Anion"
5712,19361066,,"Anion, Carboxylic acid deriv., Carboxylic acid salt, Guanidine"
5713,19427643,,"Oxohetarene, Aromatic compound, Heterocyclic compound"
5714,19782904,,"Cation, Anion, Hydroxy compound, Alcohol, Tert. alcohol, Carboxylic acid deriv., Carboxylic acid salt, Alpha-hydroxyacid"
5715,19832784,Schembl873183,"Hydroxy compound, Alcohol, Sec. alcohol"
5716,20055158,Schembl668986,"Hydroxy compound, Alcohol, Sec. alcohol"
5717,20055192,(All-E)-6'-Apo-Y-Caroten-6'-Al,"Carbonyl compound, Aldehyde, Alkene"
5718,20055197,Beta-Carotenone,"Carbonyl compound, Ketone, Alkene"
5719,20055255,Scoparin,"Carbonyl compound, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, Ether, Dialkylether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5720,20055539,Sesquisabinene Hydrate,"Hydroxy compound, Alcohol, Tert. alcohol, Alkene"
5721,20111686,Hesperetin 7-O-Glucoside,"Carbonyl compound, Ketone, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
5722,20144841,Schembl10633068,"Cation, Anion, Carboxylic acid deriv., Carboxylic acid salt, Aromatic compound"
5723,20162724,Schembl289072,"Amine, Prim. amine, Prim. aliphat. amine, Aromatic compound, Heterocyclic compound"
5724,20216915,S-2-Propenyl Methanesulfinothioate,"Sulfinic acid deriv., Sulfenic acid deriv., Alkene"
5725,20381861,Methialdol,"Carbonyl compound, Aldehyde, Thioether, Alkene"
5726,20391236,Dihydroxystearic Acid,"Carbonyl hydrate, Carboxylic acid deriv., Carboxylic acid"
5727,20407213,"(9S,12R,15S,18S,21S,24R,27S,30S)-24,27-Dibenzyl-15-[(2S)-Butan-2-Yl]-9,12,21-Tris(2-Methylpropyl)-18-(Propan-2-Yl)-1,7,10,13,16,19,22,25,28-Nonaazatricyclo[28.3.0.0;{3,7}]Tritriacontane-2,8,11,14,17,20,23,26,29-Nonone","Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid sec. amide, Carboxylic acid tert. amide, Lactam, Aromatic compound, Heterocyclic compound"
5728,20488062,,"Cation, Anion, Hydroxy compound, Phenol, Aromatic compound"
5729,20758205,39300-87-3,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Ether, Dialkylether, Heterocyclic compound"
5730,21139920,(25S)-Spirostan,"Acetal, Heterocyclic compound"
5731,21141346,Erybraedin A,"Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
5732,21147597,Chembl1783943,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
5733,21159022,Bicyclogermacrene,Alkene
5734,21159064,Beta-Humulene,Alkene
5735,21160126,Pregeijerene,Alkene
5736,21192043,Ac1L199I,"Cation, Anion"
5737,21201348,N-Gamma-Glutamyl-S-Propylcysteine,"Thioether, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid sec. amide, Alpha-aminoacid"
5738,21251947,Pentyl Hydrodisulfide,Sulfenic acid deriv.
5739,21574256,Isodehydrocycloxanthohumol Hydrate,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
5740,21574503,,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Diarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5741,21576542,Methylvilangin,"Carbonyl compound, Ketone, Enol"
5742,21576544,Anthrasesamone A,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Alkene, Aromatic compound"
5743,21576545,Anthrasesamone B,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Alkene, Aromatic compound"
5744,21579116,5-Carboxypyranocyanidin 3-O-(6''-O-Malonyl-Beta-Glucopyranoside,"Cation, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Oxohetarene, Aromatic compound, Heterocyclic compound"
5745,21579161,Mab3,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Tert. alcohol, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5746,21579191,Epicatechin(4Alpha-8)Peralgonidin 3-O-Beta-Glucopyranoside,"Cation, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5747,21580213,Piperolein B,"Acetal, Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid tert. amide, Alkene, Aromatic compound, Heterocyclic compound"
5748,21580214,Chebi:70097,"Acetal, Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid tert. amide, Alkene, Aromatic compound, Heterocyclic compound"
5749,21587486,55123-21-2,Alkene
5750,21589724,,"Carbonyl compound, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, Ether, Dialkylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5751,21591148,Isoangustone A,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
5752,21591149,Licoriphenone,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound"
5753,21591197,Albanin E,"Carbonyl compound, Hydroxy compound, Phenol, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
5754,21592420,Cyclomammeisin,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Tert. alcohol, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5755,21593607,(?)-Kauranol,"Hydroxy compound, Alcohol, Tert. alcohol"
5756,21596147,Griffithane B (10),"Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound"
5757,21602048,6E-Pandanamine,"Amine, Sec. amine, Sec. aliphat. amine, Oxohetarene, Aromatic compound, Heterocyclic compound"
5758,21606187,Linden Ether,"Ether, Dialkylether, Alkene, Heterocyclic compound"
5759,21629804,,"Carbonyl compound, Ketone, Carbonyl hydrate, Hemiacetal, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Alkene, Aromatic compound, Heterocyclic compound"
5760,21633679,Quercetagetin 4'-Methyl Ether,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5761,21637213,"4,2',4'-Trihydroxy-6''-Methyl-6''-(4-Methyl-3-Pentenyl)Pyrano[2'',3'':3,2]Dihydrochalcone","Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
5762,21637579,8-Glucopyranosylprocyanidin B2,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Ether, Dialkylether, Alkylarylether, Aromatic compound, Heterocyclic compound"
5763,21637680,Kazinol D,"Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
5764,21637682,Kazinol K,"Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
5765,21637732,Kazinol J,"Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Alkene, Aromatic compound"
5766,21668201,90989-93-8,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid ester, Phosphoric acid deriv., Phosphoric acid ester"
5767,21672078,Mangostenone B,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
5768,21672568,Myricetin 3-Arabinoside,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
5769,21674154,Pinotin A,"Cation, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5770,21676157,Broussoflavonol A,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
5771,21676203,Panchovillin,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5772,21676230,Anhydrotuberosin,"Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
5773,21676297,Chembl3143891,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
5774,21676298,Kaempferol 3-Rutinoside 7-Glucoside,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
5775,21676305,Camelliaside A,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
5776,21680430,Cerasin,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound"
5777,21681009,Zinc13340278,"Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound"
5778,21718608,"5,7,2',3'-Tetrahydroxy-8,6'-Dimethoxyflavone","Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5779,21721900,"5,2',5'-Trihydroxy-6,7,8-Trimethoxyflavone","Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5780,21721909,Rubraflavone A,"Carbonyl compound, Hydroxy compound, Phenol, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
5781,21721973,"Apigenin 7-(2,3-Diacetylglucoside)","Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, Phenol, Carboxylic acid deriv., Carboxylic acid ester, Oxohetarene, Aromatic compound, Heterocyclic compound"
5782,21722022,Spinatoside,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid, Oxohetarene, Aromatic compound, Heterocyclic compound"
5783,21722026,Jaceidin 4'-Glucuronide,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid, Oxohetarene, Aromatic compound, Heterocyclic compound"
5784,21722171,41365-30-4,"Acetal, Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
5785,21723648,"5,6,7-Trimethoxy-3',4'-Methylenedioxyisoflavone","Carbonyl compound, Acetal, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
5786,21728333,77305-81-8,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Aromatic compound"
5787,21775588,Ergosterin,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
5788,21780519,Stizolamine,"Hydroxy compound, Alcohol, Prim. alcohol, Oxohetarene, Guanidine, Aromatic compound, Heterocyclic compound"
5789,21881166,Plastoquinone 9,"Carbonyl compound, Ketone, Alkene"
5790,21883788,,"Cation, Anion, Carboxylic acid deriv., Carboxylic acid salt, Alkene"
5791,21889163,13058-13-4,"Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Alkene, Aromatic compound"
5792,21924842,,"Hemiacetal, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Heterocyclic compound"
5793,21924868,Invert Sugar,"Carbonyl compound, Aldehyde, Ketone, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol"
5794,21941294,"5,7,4'-Trihydroxyisoflavanone 7-O-Glucoside","Carbonyl compound, Ketone, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
5795,21951591,Avenalumic Acid,"Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid, Alkene, Aromatic compound"
5796,21952380,Schembl126337,"Cation, Anion, Carboxylic acid deriv., Carboxylic acid salt"
5797,21980959,,"Cation, Anion, Carboxylic acid deriv., Carboxylic acid salt"
5798,22017520,4-Hydroxy-6-Methoxyquinoline-2-Carboxylic Acid,"Carbonyl compound, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid, Oxohetarene, Aromatic compound, Heterocyclic compound"
5799,22026982,372074-33-4,"Hydroxy compound, Alcohol, Sec. alcohol"
5800,22174061,2-Methylpentanedioate,"Anion, Carboxylic acid deriv., Carboxylic acid salt"
5801,22261310,,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
5802,22288010,"6""-O-Acetylgenistin","Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, Carboxylic acid deriv., Carboxylic acid ester, Oxohetarene, Aromatic compound, Heterocyclic compound"
5803,22290169,Schembl851327,"Hydroxy compound, Alcohol, Prim. alcohol, Amine, Prim. amine, Prim. aromat. amine, Phosphoric acid deriv., Aromatic compound, Heterocyclic compound"
5804,22309755,,"Amine, Prim. amine, Prim. aromat. amine, Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound, Heterocyclic compound"
5805,22494954,,"Cation, Anion, Carboxylic acid deriv., Carboxylic acid salt"
5806,22494956,,"Cation, Anion, Carboxylic acid deriv., Carboxylic acid salt"
5807,22559443,Humulene Epoxide,"Ether, Dialkylether, Alkene, Heterocyclic compound"
5808,22565016,,"Anion, Carboxylic acid deriv., Carboxylic acid salt, Alkene"
